,index,city_st
2596,"Glen Cove, NY",1
1412,"Glen Ellyn, IL",1
2098,"Glen Falls, NY",1
2394,"Glen Ridge, NJ",1
290,"Glendale, CA",3
2484,"Glendale, MO",1
1098,"Glendora, CA",1
752,"Glens Falls, NY",2
819,"Glenview, IL",2
2128,"Glenwood Springs, CO",1
1258,"Gloucester City, NJ",1
403,"Gloucester, MA",3
2145,"Gloucester, VA",1
2230,"Golden, CO",1
561,"Goldsboro, NC",2
2527,"Goodyear, AZ",1
1341,"Gorham, ME",1
540,"Goshen, IA",2
474,"Goshen, IN",2
1142,"Goshen, NY",1
2542,"Government, MD",1
1338,"Grafton, MA",1
2535,"Grafton, WI",1
897,"Graham, NC",2
1906,"Granbury, TX",1
2097,"Granby, CT",1
1493,"Grand Blanc, MI",1
401,"Grand Forks, ND",3
204,"Grand Island, NE",4
338,"Grand Junction, CO",3
